"","method1","method2","out_id_x","out_id_y","neg_limit_rg","limit_rg","res","var_est","X_CHARACTER"
"1",15.909,16.659,NA,NA,-9.76330491,9.76330491,1.64069776,7.58421834,NA
"2",30.004,27.347,NA,NA,-9.80787958,9.80787958,-0.906063,7.61266534,NA
"3",31.928,34.492,NA,NA,-9.87650962,9.87650962,2.73522988,7.70777034,NA
"4",36.171,36.974,NA,NA,-9.94952044,9.94952044,1.4526816,7.81798887,NA
"5",38.051,36.733,NA,NA,-9.97020238,9.97020238,-0.0561537,7.85020355,NA
"6",37.638,38.051,NA,NA,-9.9824477,9.9824477,1.16278113,7.86943032,NA
"7",40.823,36.605,NA,NA,-10.00617449,10.00617449,-2.12139309,7.90696184,NA
"8",41.687,40.04,NA,NA,-10.0724404,10.0724404,-0.3273678,8.01322446,NA
"9",39.94,42.543,NA,NA,-10.08550277,10.08550277,2.67354202,8.03434736,NA
"10",40.356,44.11,NA,NA,-10.11978227,10.11978227,3.476377,8.08995054,NA
"11",44.518,40.775,NA,NA,-10.13350422,10.13350422,-1.82923457,8.11225847,NA
"12",44.222,41.258,NA,NA,-10.13699862,10.13699862,-1.27945458,8.1179426,NA
"13",42.263,45.45,NA,NA,-10.1796194,10.1796194,3.05741584,8.18733583,NA
"14",45.805,42.21,NA,NA,-10.18441476,10.18441476,-1.73971251,8.19514717,NA
"15",40.908,47.693,NA,NA,-10.19743097,10.19743097,5.59657273,8.21634969,NA
"16",43.982,46.314,NA,NA,-10.23070071,10.23070071,2.43850414,8.27052551,NA
"17",45.039,45.566,NA,NA,-10.23674289,10.23674289,1.16049867,8.28035921,NA
"18",46.37,44.956,NA,NA,-10.25136875,10.25136875,-0.2159599,8.30415354,NA
"19",46.943,45.176,NA,NA,-10.26801342,10.26801342,-0.46996769,8.33121346,NA
"20",47.421,44.784,NA,NA,-10.2696963,10.2696963,-1.08560951,8.33394814,NA
"21",50.297,46.925,NA,NA,-10.38168672,10.38168672,-1.63319706,8.51530934,NA
"22",51.144,48.311,NA,NA,-10.43488001,10.43488001,-1.26448735,8.60098422,NA
"23",52.943,49.819,NA,NA,-10.51651027,10.51651027,-1.48862649,8.73190164,NA
"24",51.72,52.381,NA,NA,-10.55124489,10.55124489,1.18024902,8.78742137,NA
"25",53.859,52.755,NA,NA,-10.61584082,10.61584082,-0.08172097,8.89040019,NA
"26",55.129,51.548,NA,NA,-10.61697819,10.61697819,-1.83352048,8.89221031,NA
"27",53.936,52.747,NA,NA,-10.61762628,10.61762628,-0.14220663,8.89324171,NA
"28",56.686,50.9,NA,NA,-10.6403581,10.6403581,-3.39769421,8.92939618,NA
"29",54.064,55.919,NA,NA,-10.70553879,10.70553879,1.99182141,9.03282576,NA
"30",52.774,57.33,NA,NA,-10.70934291,10.70934291,3.90098543,9.03885078,NA
"31",53.02,57.244,NA,NA,-10.71355631,10.71355631,3.66534409,9.04552249,NA
"32",52.187,59.018,NA,NA,-10.73937816,10.73937816,5.50348528,9.08637372,NA
"33",57.506,54.076,NA,NA,-10.74736492,10.74736492,-1.75400837,9.09899601,NA
"34",59.572,53.221,NA,NA,-10.77950811,10.77950811,-3.82613318,9.14972858,NA
"35",59.051,54.088,NA,NA,-10.78920263,10.78920263,-2.84662204,9.16500768,NA
"36",56.531,57.748,NA,NA,-10.82160991,10.82160991,1.51682778,9.21600287,NA
"37",54.94,60.294,NA,NA,-10.84867562,10.84867562,4.43673114,9.25849013,NA
